study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2205693,ERZ3166258,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166258/contig.fa.gz,11679_4#91
PRJEB45963,SAMEA2205700,ERZ3166259,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166259/contig.fa.gz,11679_4#93
PRJEB45963,SAMEA2205699,ERZ3166260,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166260/contig.fa.gz,11657_6#93
PRJEB45963,SAMEA2205698,ERZ3166261,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166261/contig.fa.gz,11679_5#88
PRJEB45963,SAMEA2205701,ERZ3166262,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166262/contig.fa.gz,11658_3#90
PRJEB45963,SAMEA2205695,ERZ3166263,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166263/contig.fa.gz,11679_4#92
PRJEB45963,SAMEA2205696,ERZ3166264,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166264/contig.fa.gz,11657_6#92
PRJEB45963,SAMEA2205703,ERZ3166269,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166269/contig.fa.gz,11791_3#87
PRJEB45963,SAMEA2205702,ERZ3166270,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166270/contig.fa.gz,11658_3#91
PRJEB45963,SAMEA2205708,ERZ3166271,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166271/contig.fa.gz,11679_7#89
PRJEB45963,SAMEA2205706,ERZ3166272,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166272/contig.fa.gz,11791_3#89
PRJEB45963,SAMEA2205704,ERZ3166273,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166273/contig.fa.gz,11679_6#92
PRJEB45963,SAMEA2205707,ERZ3166274,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166274/contig.fa.gz,11791_3#90
PRJEB45963,SAMEA2205710,ERZ3166275,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166275/contig.fa.gz,11658_4#96
PRJEB45963,SAMEA2205705,ERZ3166276,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166276/contig.fa.gz,11791_3#88
PRJEB45963,SAMEA2205709,ERZ3166277,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166277/contig.fa.gz,11657_6#94
PRJEB45963,SAMEA2205716,ERZ3166281,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166281/contig.fa.gz,11679_5#90
PRJEB45963,SAMEA2205714,ERZ3166282,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166282/contig.fa.gz,11679_7#90
PRJEB45963,SAMEA2205717,ERZ3166283,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166283/contig.fa.gz,11658_3#92
PRJEB45963,SAMEA2205719,ERZ3166284,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166284/contig.fa.gz,11679_6#93
PRJEB45963,SAMEA2205711,ERZ3166285,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166285/contig.fa.gz,11791_3#91
PRJEB45963,SAMEA2205712,ERZ3166286,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166286/contig.fa.gz,11791_7#70
PRJEB45963,SAMEA2205718,ERZ3166287,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166287/contig.fa.gz,11791_3#92
PRJEB45963,SAMEA2205713,ERZ3166288,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166288/contig.fa.gz,11657_7#91
PRJEB45963,SAMEA2205715,ERZ3166289,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166289/contig.fa.gz,11679_5#89
PRJEB45963,SAMEA2205727,ERZ3166293,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166293/contig.fa.gz,11791_3#93
PRJEB45963,SAMEA2205720,ERZ3166294,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166294/contig.fa.gz,11679_8#90
PRJEB45963,SAMEA2205722,ERZ3166295,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166295/contig.fa.gz,11679_8#91
PRJEB45963,SAMEA2205721,ERZ3166296,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166296/contig.fa.gz,11679_5#91
